stratum,metric,mean_difference_synthetic_minus_replay,sd_difference,ci95_low_seed_t,ci95_high_seed_t,synthetic_wins,exact_sign_flip_p_two_sided,differences_by_seed
ood_far,balanced_accuracy,-0.02730849047604726,0.041535121405735294,-0.13048745192216268,0.07587047097006817,1,0.5,"{""42"": -0.048705261138505374, ""43"": -0.053782675194557816, ""44"": 0.020562464904921418}"
ood_far,mcc,-0.027912682662624255,0.020416189237142737,-0.07862930827684173,0.02280394295159322,0,0.25,"{""42"": -0.04885594998655152, ""43"": -0.0268141727230764, ""44"": -0.008067925278244847}"
ood_far,ece,0.005318646216145852,0.011849015460009918,-0.02411593993517747,0.034753232367469175,2,0.75,"{""42"": 0.018069631609375192, ""43"": -0.005353175843750113, ""44"": 0.0032394828828124778}"
ood_far,worst_class_recall,-0.024475524475524518,0.12157579476023575,-0.3264865410754444,0.2775354921243953,2,1.0,"{""42"": 0.05594405594405594, ""43"": -0.16433566433566438, ""44"": 0.03496503496503489}"
ood_far,auroc_ovr_macro,-0.005358420834607506,0.007558652429254415,-0.024135154384131642,0.013418312714916628,1,0.5,"{""42"": -0.005618085467969269, ""43"": -0.012783895080529462, ""44"": 0.0023267180446762126}"
ood_far,auprc_ovr_macro,-0.018370910862533063,0.015159047857539151,-0.05602807331967411,0.019286251594607985,0,0.25,"{""42"": -0.025709936655920584, ""43"": -0.028463692732707102, ""44"": -0.0009391031989715026}"
ood_far,mel_precision,-0.04642543430304963,0.06460558757512523,-0.2069146107882068,0.11406374218210755,1,0.5,"{""42"": -0.10421860019175455, ""43"": -0.058380343722473194, ""44"": 0.02332264100507886}"
ood_far,mel_recall,-0.004662004662004689,0.08743589432872284,-0.2218648071246019,0.2125407978005925,2,1.0,"{""42"": 0.05594405594405594, ""43"": -0.1048951048951049, ""44"": 0.03496503496503489}"
ood_far,mel_f1,-0.02932902426788177,0.05274675141967275,-0.16035921864181113,0.10170117010604758,1,0.5,"{""42"": -0.041076487252124594, ""43"": -0.07521162205444987, ""44"": 0.028301036502929144}"
ood_far,mel_auroc,-0.019348139400909847,0.026500780384201127,-0.08517972734411727,0.04648344854229758,1,0.5,"{""42"": -0.027679883880411538, ""43"": -0.040681833557823066, ""44"": 0.010317299235505062}"
ood_far,mel_auprc,-0.013052815334974913,0.04924549787448435,-0.1353854137389022,0.10927978306895238,1,0.75,"{""42"": -0.01793754687846616, ""43"": -0.05967391467951372, ""44"": 0.038453015553055137}"
random_remaining,macro_f1,-0.017907444493405755,0.02161644341723276,-0.07160566678007083,0.03579077779325932,0,0.25,"{""42"": -0.010303027308433133, ""43"": -0.0011208149577194293, ""44"": -0.042298491214064704}"
random_remaining,balanced_accuracy,-0.020416137538967982,0.031965427131006675,-0.09982266054730882,0.05899038546937285,1,0.5,"{""42"": 0.00883086836024094, ""43"": -0.01553969135744837, ""44"": -0.054539589619696516}"
random_remaining,mcc,-0.04826002099393404,0.025367260160732177,-0.11127578860299059,0.014755746615122502,0,0.25,"{""42"": -0.03838970108495676, ""43"": -0.029311494534196236, ""44"": -0.07707886736264913}"
random_remaining,ece,0.007121442882812616,0.03955526101049234,-0.09113927269147887,0.10538215845710411,2,0.75,"{""42"": 0.019830844500000222, ""43"": -0.03722631000781254, ""44"": 0.038759794156250166}"
random_remaining,worst_class_recall,0.028425740925740944,0.1294085114515205,-0.2930428225924555,0.34989430444393743,2,0.75,"{""42"": 0.04589160839160844, ""43"": 0.14821428571428574, ""44"": -0.10882867132867136}"
random_remaining,auroc_ovr_macro,0.001414980120470884,0.007830557067225288,-0.018037201994236522,0.020867162235178288,2,0.75,"{""42"": -0.0072848084267223, ""43"": 0.007898623069208632, ""44"": 0.00363112571892632}"
random_remaining,auprc_ovr_macro,-0.0074495559185966025,0.01653409926795507,-0.04852253543994732,0.03362342360275411,1,0.75,"{""42"": -0.023349518041011263, ""43"": 0.009653011770549669, ""44"": -0.008652161485328214}"
random_remaining,mel_precision,-0.08601277449334827,0.031117210539878,-0.16331221067993407,-0.008713338306762478,0,0.25,"{""42"": -0.05376814128344115, ""43"": -0.0884057971014493, ""44"": -0.11586438509515434}"
random_remaining,mel_recall,0.025641025641025623,0.12690589826402046,-0.28961070208017836,0.3408927533622296,2,1.0,"{""42"": -0.11888111888111885, ""43"": 0.11888111888111885, ""44"": 0.07692307692307687}"
random_remaining,mel_f1,-0.06871006072331036,0.016212487268691178,-0.10898411174873822,-0.0284360096978825,0,0.25,"{""42"": -0.07464224524263902, ""43"": -0.05036698457346289, ""44"": -0.08112095235382916}"
random_remaining,mel_auroc,-0.006173978469492969,0.03190466481338064,-0.08542955951316562,0.07308160257417969,1,0.75,"{""42"": -0.039193436291061756, ""43"": 0.02448475007841766, ""44"": -0.0038132491958348114}"
random_remaining,mel_auprc,-0.02037171819793567,0.04817709742155209,-0.1400502627454828,0.09930682634961145,1,0.5,"{""42"": -0.04227976975868164, ""43"": 0.03486617229154432, ""44"": -0.053701557126669686}"
