experiment,method,seed,class,support,auroc,auprc
stage9_real_balanced_softmax_natural_384,Real Balanced Softmax,43,akiec,42,0.9548715285791215,0.8065100777959752
stage9_real_balanced_softmax_natural_384,Real Balanced Softmax,43,bcc,65,0.9928711617600506,0.8875367636426641
stage9_real_balanced_softmax_natural_384,Real Balanced Softmax,43,bkl,140,0.9523558897243108,0.7734182352780892
stage9_real_balanced_softmax_natural_384,Real Balanced Softmax,43,df,16,0.9928797468354431,0.8167938585907336
stage9_real_balanced_softmax_natural_384,Real Balanced Softmax,43,mel,143,0.839769728951787,0.5150573719033331
stage9_real_balanced_softmax_natural_384,Real Balanced Softmax,43,nv,856,0.9036779778698643,0.930031563828772
stage9_real_balanced_softmax_natural_384,Real Balanced Softmax,43,vasc,18,0.9986793449550977,0.9277005849586497
stage9_real_balanced_softmax_natural_384,Real Balanced Softmax,44,akiec,42,0.9769309177629049,0.8348363622555192
stage9_real_balanced_softmax_natural_384,Real Balanced Softmax,44,bcc,65,0.9939727761949984,0.9075518918607571
stage9_real_balanced_softmax_natural_384,Real Balanced Softmax,44,bkl,140,0.9366353383458647,0.7703817115831151
stage9_real_balanced_softmax_natural_384,Real Balanced Softmax,44,df,16,0.987589003164557,0.7301838352619603
stage9_real_balanced_softmax_natural_384,Real Balanced Softmax,44,mel,143,0.8082243174591459,0.4944574047484626
stage9_real_balanced_softmax_natural_384,Real Balanced Softmax,44,nv,856,0.8982225908129078,0.9247122820800435
stage9_real_balanced_softmax_natural_384,Real Balanced Softmax,44,vasc,18,0.9976228209191759,0.9467435549525101
stage9_source_replay_weighted_384,Source-matched replay,42,akiec,42,0.9775367335948919,0.833818952842012
stage9_source_replay_weighted_384,Source-matched replay,42,bcc,65,0.9946691991136436,0.8893388903087014
stage9_source_replay_weighted_384,Source-matched replay,42,bkl,140,0.9451848370927318,0.7944847398471295
stage9_source_replay_weighted_384,Source-matched replay,42,df,16,0.9935225474683544,0.8731309808612441
stage9_source_replay_weighted_384,Source-matched replay,42,mel,143,0.8232989525865515,0.5232354818698417
stage9_source_replay_weighted_384,Source-matched replay,42,nv,856,0.896298051490037,0.9275886489961884
stage9_source_replay_weighted_384,Source-matched replay,42,vasc,18,0.9993396724775488,0.965652557319224
stage9_source_replay_weighted_384,Source-matched replay,43,akiec,42,0.9836141241633972,0.8368513173967049
stage9_source_replay_weighted_384,Source-matched replay,43,bcc,65,0.9936435580880025,0.9012402933042062
stage9_source_replay_weighted_384,Source-matched replay,43,bkl,140,0.9131390977443609,0.6941852918004836
stage9_source_replay_weighted_384,Source-matched replay,43,df,16,0.9406645569620252,0.6139895093014667
stage9_source_replay_weighted_384,Source-matched replay,43,mel,143,0.8265156127952962,0.4887308123159368
stage9_source_replay_weighted_384,Source-matched replay,43,nv,856,0.8787774422500441,0.9173157066865557
