experiment,method,seed,selection_objective,mel_logit_offset,calibration_objective_value,evaluation_macro_f1,evaluation_mcc,evaluation_ece,evaluation_mel_precision,evaluation_mel_recall,evaluation_mel_f1
stage8_real_ce_weighted_384,Real CE oversampling,42,mcc,-0.45999999999999996,0.7138164623781753,0.769744994407355,0.6229853249425863,0.05544130918675778,0.4222222222222222,0.5277777777777778,0.4691358024691358
stage8_real_ce_weighted_384,Real CE oversampling,42,target_f1,-0.45999999999999996,0.6172839506172839,0.769744994407355,0.6229853249425863,0.05544130918675778,0.4222222222222222,0.5277777777777778,0.4691358024691358
stage8_real_ce_weighted_384,Real CE oversampling,43,macro_f1,0.5899999999999999,0.7888036231199358,0.7360816449592141,0.6115711679343405,0.045554965277076934,0.3953488372093023,0.7083333333333334,0.5074626865671642
stage8_real_ce_weighted_384,Real CE oversampling,43,mcc,-1.5899999999999999,0.687409425032464,0.7595300870490481,0.6783098668692343,0.03739722397885997,0.717391304347826,0.4583333333333333,0.559322033898305
stage8_real_ce_weighted_384,Real CE oversampling,43,target_f1,-0.08000000000000007,0.5605095541401274,0.7564734035240768,0.6598179980413307,0.04447869644059441,0.5172413793103449,0.625,0.5660377358490566
stage8_real_ce_weighted_384,Real CE oversampling,44,macro_f1,-1.1799999999999997,0.7819702596058379,0.7448862117396822,0.6263787665194829,0.04084679327470584,0.5070422535211268,0.5,0.5034965034965035
stage8_real_ce_weighted_384,Real CE oversampling,44,mcc,-1.6600000000000001,0.6911843747682798,0.7539707832216268,0.6575971405277441,0.05497873324780972,0.6363636363636364,0.4861111111111111,0.5511811023622047
stage8_real_ce_weighted_384,Real CE oversampling,44,target_f1,-0.7199999999999998,0.5526315789473685,0.7382872121006556,0.6002650804120871,0.055938834180279735,0.4222222222222222,0.5277777777777778,0.4691358024691358
stage8_real_logit_adjust_natural_384,Real Logit Adjustment,42,macro_f1,-0.7000000000000002,0.7515497208310913,0.7549437140246364,0.6414323558965291,0.03412827843966389,0.4782608695652174,0.6111111111111112,0.5365853658536586
stage8_real_logit_adjust_natural_384,Real Logit Adjustment,42,mcc,-1.4100000000000001,0.7029720657402003,0.7588110392085224,0.659676554661751,0.05087820652732783,0.5571428571428572,0.5416666666666666,0.5492957746478874
