experiment,method,seed,minimum_calibration_specificity,threshold,calibration_specificity,evaluation_specificity,evaluation_sensitivity,evaluation_precision
stage8_synthetic_dino_384,Synthetic + DINO,44,0.9,0.3596217400762743,0.9102112676056338,0.8875219683655536,0.5555555555555556,0.38461538461538464
stage8_synthetic_dino_384,Synthetic + DINO,44,0.95,0.5439782025813643,0.9507042253521126,0.9349736379613357,0.5138888888888888,0.5
stage9_real_ce_undersample_384,Real CE undersampling,42,0.9,0.5689709319155045,0.9014084507042254,0.8927943760984183,0.375,0.3068181818181818
stage9_real_ce_undersample_384,Real CE undersampling,42,0.95,0.6615106871914411,0.9507042253521126,0.9472759226713533,0.3333333333333333,0.4444444444444444
stage9_real_ce_undersample_384,Real CE undersampling,43,0.9,0.6712585727655301,0.9014084507042254,0.8892794376098418,0.5416666666666666,0.38235294117647056
stage9_real_ce_undersample_384,Real CE undersampling,43,0.95,0.7540512845393779,0.9595070422535211,0.9402460456942003,0.4722222222222222,0.5
stage9_real_ce_undersample_384,Real CE undersampling,44,0.9,0.4833920819280035,0.9014084507042254,0.9015817223198594,0.4305555555555556,0.3563218390804598
stage9_real_ce_undersample_384,Real CE undersampling,44,0.95,0.5922964671373553,0.954225352112676,0.9595782073813708,0.3194444444444444,0.5
stage9_real_balanced_softmax_natural_384,Real Balanced Softmax,42,0.9,0.32716241837605065,0.9049295774647887,0.8664323374340949,0.5833333333333334,0.3559322033898305
stage9_real_balanced_softmax_natural_384,Real Balanced Softmax,42,0.95,0.6523174074172428,0.9524647887323944,0.9261862917398945,0.4861111111111111,0.45454545454545453
stage9_real_balanced_softmax_natural_384,Real Balanced Softmax,43,0.9,0.5896606989288856,0.9049295774647887,0.8875219683655536,0.6527777777777778,0.42342342342342343
stage9_real_balanced_softmax_natural_384,Real Balanced Softmax,43,0.95,0.8710898530279935,0.9577464788732394,0.9595782073813708,0.4305555555555556,0.5740740740740741
stage9_real_balanced_softmax_natural_384,Real Balanced Softmax,44,0.9,0.35577975360555625,0.9066901408450704,0.8769771528998243,0.5555555555555556,0.36363636363636365
stage9_real_balanced_softmax_natural_384,Real Balanced Softmax,44,0.95,0.6241468616298225,0.9507042253521126,0.9279437609841827,0.5416666666666666,0.4875
stage9_source_replay_weighted_384,Source-matched replay,42,0.9,0.4093866572171935,0.9172535211267606,0.9033391915641477,0.5138888888888888,0.40217391304347827
stage9_source_replay_weighted_384,Source-matched replay,42,0.95,0.7491141681022899,0.9559859154929577,0.9490333919156415,0.375,0.48214285714285715
stage9_source_replay_weighted_384,Source-matched replay,43,0.9,0.5076866892787705,0.9137323943661971,0.8945518453427065,0.5694444444444444,0.40594059405940597
stage9_source_replay_weighted_384,Source-matched replay,43,0.95,0.6333192968985794,0.9507042253521126,0.9490333919156415,0.4722222222222222,0.5396825396825397
stage9_source_replay_weighted_384,Source-matched replay,44,0.9,0.5554878343986702,0.9137323943661971,0.9086115992970123,0.5694444444444444,0.44086021505376344
stage9_source_replay_weighted_384,Source-matched replay,44,0.95,0.7263353394626655,0.9524647887323944,0.9543057996485061,0.4861111111111111,0.5737704918032787
stage9_crt_weighted_384,cRT classifier retraining,42,0.9,0.5680128503989437,0.903169014084507,0.9103690685413005,0.5833333333333334,0.45161290322580644
stage9_crt_weighted_384,cRT classifier retraining,42,0.95,0.7800826476410593,0.9507042253521126,0.968365553602812,0.4861111111111111,0.660377358490566
stage9_crt_weighted_384,cRT classifier retraining,43,0.9,0.6041411385883347,0.9102112676056338,0.8822495606326889,0.5555555555555556,0.37383177570093457
stage9_crt_weighted_384,cRT classifier retraining,43,0.95,0.8185134006556909,0.9577464788732394,0.945518453427065,0.4444444444444444,0.5079365079365079
stage9_crt_weighted_384,cRT classifier retraining,44,0.9,0.4433254823747952,0.9014084507042254,0.8488576449912126,0.6111111111111112,0.3384615384615385
stage9_crt_weighted_384,cRT classifier retraining,44,0.95,0.7491905109304992,0.9507042253521126,0.9314586994727593,0.5,0.48
